"SeatIndex","STATE","CONSTITUENCY","NAME","WINNER","PARTY","SYMBOL","GENDER","CRIMINAL.CASES","AGE","CATEGORY","EDUCATION","ASSETS","LIABILITIES","GENERAL.VOTES","POSTAL.VOTES","TOTAL.VOTES","OVER.TOTAL.ELECTORS..IN.CONSTITUENCY","OVER.TOTAL.VOTES.POLLED..IN.CONSTITUENCY","TOTAL.ELECTORS"
1,"Telangana","ADILABAD","SOYAM BAPU RAO",1,"BJP","Lotus","MALE",0,52,"ST","12th Pass","Rs 30,99,414
 ~ 30 Lacs+","Rs 2,31,450
 ~ 2 Lacs+",376892,482,377374,25.33068419,35.4682479,1489790
2,"Uttar Pradesh","AGRA","Satyapal Singh Baghel",1,"BJP","Lotus","MALE",0,58,"SC","Doctorate","Rs 7,42,74,036
 ~ 7 Crore+","Rs 86,06,522
 ~ 86 Lacs+",644459,2416,646875,33.38382301,56.46461464,1937690
3,"Maharashtra","AHMADNAGAR","Dr. SUJAY RADHAKRISHNA VIKHEPATIL",1,"BJP","Lotus","MALE",0,37,"GENERAL","Doctorate","Rs 16,86,64,576
 ~ 16 Crore+","Rs 26,23,964
 ~ 26 Lacs+",696961,7699,704660,37.85653348,58.42515898,1861396
4,"Gujarat","AHMEDABAD EAST","Patel Hasmukhbhai Somabhai",1,"BJP","Lotus","MALE",0,58,"GENERAL","Others","Rs 7,46,99,690
 ~ 7 Crore+","Rs 62,52,577
 ~ 62 Lacs+",745810,4024,749834,41.3849704,67.00546171,1811851
5,"Gujarat","AHMEDABAD WEST","DR. KIRIT P. SOLANKI",1,"BJP","Lotus","MALE",0,69,"SC","Post Graduate","Rs 8,94,74,039
 ~ 8 Crore+","Rs 0
 ~",638241,3381,641622,39.04432316,64.21145018,1643317
6,"Rajasthan","AJMER","Bhagirath Chaudhary",1,"BJP","Lotus","MALE",0,64,"GENERAL","12th Pass","Rs 8,51,01,774
 ~ 8 Crore+","Rs 83,19,942
 ~ 83 Lacs+",811091,3985,815076,43.4395362,64.52234957,1876346
7,"Uttar Pradesh","AKBARPUR","Devendra Singh 'Bhole'",1,"BJP","Lotus","MALE",0,64,"GENERAL","10th Pass","Rs 2,85,46,617
 ~2 Crore+","Rs 5,59,965 
~5 Lacs+",577603,3679,581282,32.91292046,56.62023333,1766121
8,"Maharashtra","AKOLA","Dhotre Sanjay Shamrao",1,"BJP","Lotus","MALE",204,60,"GENERAL","Graduate Professional","Rs 7,71,53,230
 ~ 7 Crore+","Rs 1,49,85,774
 ~ 1 Crore+",552898,1546,554444,29.72620712,49.49575293,1865169
9,"Kerala","ALAPPUZHA","Adv. A M ARIFF",1,"CPI(M)","Hammer, Sickle and Star","MALE",41,54,"GENERAL","Graduate Professional","Rs 1,52,68,906
 ~ 1 Crore+","Rs 22,20,700
 ~ 22 Lacs+",443003,2967,445970,32.87164969,40.91047525,1356701
10,"Kerala","ALATHUR","RAMYA HARIDAS",1,"INC","Hand","FEMALE",28,32,"SC","10th Pass","Rs 11,52,816
 ~ 11 Lacs+","Rs 0
 ~",532493,1322,533815,42.13905339,52.36684011,1266794
11,"Uttar Pradesh","ALIGARH","SATISH KUMAR GAUTAM",1,"BJP","Lotus","MALE",18,46,"GENERAL","10th Pass","Rs 10,95,22,559
 ~ 10 Crore+","Rs 2,80,95,176
 ~ 2 Crore+",651805,4410,656215,34.77322936,56.37828085,1887127
12,"West Bengal","ALIPURDUARS","JOHN BARLA",1,"BJP","Lotus","MALE",15,43,"ST","8th Pass","Rs 14,18,730
 ~ 14 Lacs+","Rs 0
 ~",747788,3016,750804,45.54790968,54.35976298,1648383
13,"Uttar Pradesh","ALLAHABAD","Rita Bahuguna Joshi",1,"BJP","Lotus","FEMALE",13,69,"GENERAL","Doctorate","Rs 2,69,19,330
 ~ 2 Crore+","Rs 16,00,000
 ~ 16 Lacs+",493204,1250,494454,28.81164926,55.5845464,1716160
14,"Uttarakhand","ALMORA","Ajay Tamta",1,"BJP","Lotus","MALE",12,46,"SC","12th Pass","Rs 99,10,448
 ~ 99 Lacs+","Rs 55,845
 ~ 55 Thou+",430455,14196,444651,33.23728069,63.53909006,1337808
15,"Rajasthan","ALWAR","Balak Nath",1,"BJP","Lotus","MALE",11,35,"GENERAL","10th Pass","Rs 3,52,929
 ~ 3 Lacs+","Rs 0
 ~",750580,9621,760201,40.25371136,59.93021553,1888524
16,"Andhra Pradesh","AMALAPURAM","CHINTA ANURADHA",1,"YSRCP","Ceiling Fan","FEMALE",11,46,"SC","Graduate","Rs 8,59,93,362
 ~ 8 Crore+","Rs 24,31,407
 ~ 24 Lacs+",482003,3955,485958,33.29491982,39.33710441,1459556
